HJD MAX+2400000;E;O-C;ADS;AAVSO;BAV;CDB;GEOS;KWS;ASASSN;type;source;observer;reference
57869.3600;1910;-1.15;;-1.15;;;;;;vis;AAVSO;Correia;AAVSO this paper
58217.2970;1954;-1.42;;-1.42;;;;;;V;AAVSO;Vollmann;AAVSO this paper
58391.6380;1976;-1.18;;-1.18;;;;;;V;AAVSO;Vollmann;AAVSO this paper
58438.9440;1982;-1.36;;-1.36;;;;;;V;AAVSO;Vollmann;AAVSO this paper
58502.2610;1990;-1.35;;-1.35;;;;;;V;AAVSO;Vollmann;AAVSO this paper
58850.3380;2034;-1.48;;-1.48;;;;;;V;AAVSO;Vollmann;AAVSO this paper
58874.2280;2037;-1.33;;-1.33;;;;;;V;AAVSO;Vollmann;AAVSO this paper
58945.2930;2046;-1.49;;-1.49;;;;;;V;AAVSO;Vollmann;AAVSO this paper
58961.3120;2048;-1.30;-1.30;-1.30;;;;;;V;AAVSO;Vollmann;AAVSO this paper
59103.8160;2066;-1.24;;-1.24;;;;;;V;AAVSO;Vollmann;AAVSO this paper
59570.8600;2125;-1.11;-1.11;-1.11;;;-1.11;;;vis;GEOS;Ferrand;GEOS this paper
59618.0700;2131;-1.38;;;;;-1.38;;;vis;GEOS;Kuchto;GEOS this paper
59633.5410;2133;-1.74;;;;;-1.74;;;vis;GEOS;Boistel;GEOS this paper
59649.7010;2135;-1.41;;-1.41;;;;;;V;AAVSO;Wickens;AAVSO this paper
59776.3850;2151;-1.34;;;;;;-1.34;;V;KWS;KWS;KWS this paper
59871.5080;2163;-1.19;;;;;-1.19;;;vis;GEOS;Benucci;GEOS this paper
59902.7470;2167;-1.60;;-1.60;;;;;;V;AAVSO;Vollmann;AAVSO this paper
59974.0710;2176;-1.50;;;;;;-1.50;;V;KWS;KWS;KWS this paper
59974.2300;2176;-1.34;;;;;-1.34;;;vis;GEOS;Boistel;GEOS this paper
60092.5410;2191;-1.74;;-1.74;;;;;;V;AAVSO;Tomlin;AAVSO this paper
60203.5770;2205;-1.50;;-1.50;;;;;;V;AAVSO;Vollmann;AAVSO this paper
60290.4630;2216;-1.66;;;;;-1.66;;;vis;GEOS;Ferrand;GEOS this paper
60290.5620;2216;-1.56;;-1.56;;;;;;V;AAVSO;Tomlin;AAVSO this paper
60377.6730;2227;-1.50;;;;;-1.50;;;vis;GEOS;Ferrand;GEOS this paper
